"index"	"length" "start_nt" "Freq" "prop"
"141" "85" "C" 16 2.1413563675112e-07
"142" "86" "C" 23 3.07819977829735e-07
"143" "87" "C" 6 8.03008637816699e-08
"144" "88" "C" 11 1.47218250266395e-07
"145" "89" "C" 17 2.27519114048065e-07
"146" "90" "C" 17 2.27519114048065e-07
"147" "18" "G" 861511 0.0115300129095684
"148" "19" "G" 812794 0.0108780100460931
"149" "20" "G" 788618 0.0105544510989622
"150" "21" "G" 709614 0.00949710285859431
"151" "22" "G" 505828 0.00676973755415908
"152" "23" "G" 494519 0.00661838380940793
"153" "24" "G" 529631 0.00708830446425827
"154" "25" "G" 463007 0.0061966436728266
"155" "26" "G" 457586 0.00612409184239987
"156" "27" "G" 524071 0.00701389233048725
"157" "28" "G" 631522 0.00845196034952129
"158" "29" "G" 687278 0.00919816950968975
"159" "30" "G" 495173 0.00662713660356014
"160" "31" "G" 259012 0.00346648122163631
"161" "32" "G" 181294 0.00242634413307234
"162" "33" "G" 153394 0.00205294511648758
"163" "34" "G" 135681 0.00181588358312679
"164" "35" "G" 115669 0.00154805343546033
"165" "36" "G" 101629 0.00136014941421122
"166" "37" "G" 90049 0.0012051687471126
"167" "38" "G" 78367 0.00104882296532969
"168" "39" "G" 71134 0.000952020274040884
"169" "40" "G" 61829 0.000827487017792811
"170" "41" "G" 50274 0.000672840937626612
"171" "42" "G" 46543 0.00062290718383171
"172" "43" "G" 40842 0.000546607979761827
"173" "44" "G" 36063 0.000482648341759727
"174" "45" "G" 33246 0.000444947086214233
"175" "46" "G" 778 1.04123453370232e-05
"176" "47" "G" 360 4.81805182690019e-06
"177" "48" "G" 313 4.18902839394378e-06
"178" "49" "G" 329 4.4031640306949e-06
"179" "50" "G" 305 4.08196057556822e-06
"180" "51" "G" 256 3.42617018801791e-06
"181" "52" "G" 197 2.63654502749816e-06
"182" "53" "G" 178 2.38225895885621e-06
"183" "54" "G" 189 2.5294772091226e-06
"184" "55" "G" 161 2.15473984480814e-06
"185" "56" "G" 166 2.22165723129287e-06
"186" "57" "G" 178 2.38225895885621e-06
"187" "58" "G" 173 2.31534157237148e-06
"188" "59" "G" 121 1.61940075293034e-06
"189" "60" "G" 97 1.29819729780366e-06
"190" "61" "G" 98 1.31158077510061e-06
"191" "62" "G" 71 9.50226888083094e-07
"192" "63" "G" 86 1.15097904753727e-06
"193" "64" "G" 57 7.62858205925864e-07
"194" "65" "G" 64 8.56542547004479e-07
"195" "66" "G" 71 9.50226888083094e-07
"196" "67" "G" 63 8.43159069707534e-07
"197" "68" "G" 69 9.23459933489204e-07
"198" "69" "G" 85 1.13759557024032e-06
"199" "70" "G" 129 1.7264685713059e-06
"200" "71" "G" 111 1.48556597996089e-06
"201" "72" "G" 59 7.89625160519754e-07
"202" "73" "G" 130 1.73985204860285e-06
"203" "74" "G" 115 1.53909988914867e-06
"204" "75" "G" 210 2.81053023235845e-06
"205" "76" "G" 200 2.676695459389e-06
"206" "77" "G" 91 1.21789643402199e-06
"207" "78" "G" 20 2.676695459389e-07
"208" "79" "G" 26 3.47970409720569e-07
"209" "80" "G" 25 3.34586932423624e-07
"210" "81" "G" 29 3.88120841611404e-07
"211" "82" "G" 20 2.676695459389e-07
"212" "83" "G" 24 3.21203455126679e-07
"213" "84" "G" 18 2.4090259134501e-07
"214" "85" "G" 24 3.21203455126679e-07
"215" "86" "G" 19 2.54286068641955e-07
"216" "87" "G" 17 2.27519114048065e-07
"217" "88" "G" 10 1.3383477296945e-07
"218" "89" "G" 4 5.35339091877799e-08
"219" "90" "G" 28 3.74737364314459e-07
"220" "18" "U" 1086486 0.0145409607144486
"221" "19" "U" 1432901 0.0191771980022698
"222" "20" "U" 1971499 0.0263855121074497
"223" "21" "U" 1817762 0.0243279764582493
"224" "22" "U" 1357574 0.0181690608079228
"225" "23" "U" 1296382 0.0173500990651681
"226" "24" "U" 1343532 0.0179811300197191
"227" "25" "U" 1257484 0.0168295085652716
"228" "26" "U" 1604145 0.0214690381885078
"229" "27" "U" 3514352 0.0470342502054732
"230" "28" "U" 5924731 0.0792935028290061
"231" "29" "U" 8151403 0.109094116988749
"232" "30" "U" 5873214 0.0786040262290994
"233" "31" "U" 1467692 0.0196428225609078
